split_id,expense_id,user_id,split_type,share_value,amount,currency,settlement_status,settled_at,updated_at
spl_5d7d2f5b,exp_3f99f141,usr_3190040f,equal,1,555.51,LKR,outstanding,,2026-08-18T10:00:00+05:30
spl_720c1387,exp_afe2c916,usr_d8cab59f,equal,1,89291.16,IDR,outstanding,,2026-08-18T10:00:00+05:30
spl_210ddd74,exp_afe2c916,usr_96a8d3c5,equal,1,89291.16,IDR,outstanding,,2026-08-18T10:00:00+05:30
spl_fe8859d7,exp_afe2c916,usr_9db3efff,equal,1,89291.17,IDR,outstanding,,2026-08-18T10:00:00+05:30
spl_ba4430f6,exp_afe2c916,usr_3c2f4109,equal,1,89291.17,IDR,settled,2026-06-27T10:00:00+05:30,2026-08-18T10:00:00+05:30
spl_d48618ab,exp_290dfc19,usr_40c95b13,equal,1,3197.42,LKR,outstanding,,2026-08-18T10:00:00+05:30
spl_c84d12a0,exp_982ea18e,usr_9de6bd6d,equal,1,7545.02,INR,outstanding,,2026-08-18T10:00:00+05:30
spl_b08552bb,exp_46419733,usr_f9060fbb,equal,1,566.07,INR,outstanding,,2026-08-18T10:00:00+05:30
spl_130a4e04,exp_76b35450,usr_3b70ae01,custom,2.2356,1070.66,INR,outstanding,,2026-08-18T10:00:00+05:30
spl_ba05339c,exp_3b59b275,usr_52de2228,equal,1,3704.45,INR,outstanding,,2026-08-18T10:00:00+05:30
spl_4bd30e1e,exp_3b59b275,usr_98ca8444,equal,1,3704.46,INR,outstanding,,2026-08-18T10:00:00+05:30
spl_888831da,exp_1d521315,usr_701b0010,custom,0.7174,260.87,INR,outstanding,,2026-08-18T10:00:00+05:30
spl_c14323d5,exp_1d521315,usr_2c8b7af8,custom,0.8868,322.45,INR,outstanding,,2026-08-18T10:00:00+05:30
spl_fb04ad21,exp_1d521315,usr_f5a38687,custom,1.2142,441.51,INR,settled,2026-08-03T10:00:00+05:30,2026-08-18T10:00:00+05:30
spl_bf82b2f9,exp_b80220a0,usr_5307f01f,equal,1,389.11,INR,outstanding,,2026-08-18T10:00:00+05:30
spl_aff163bc,exp_b80220a0,usr_0e9166f0,equal,1,389.12,INR,settled,2026-07-11T10:00:00+05:30,2026-08-18T10:00:00+05:30
spl_92b70fe6,exp_b80220a0,usr_4a53ac63,equal,1,389.12,INR,settled,2026-07-14T10:00:00+05:30,2026-08-18T10:00:00+05:30
spl_d17205ce,exp_7bda23d0,usr_13d8f6bd,equal,1,337.73,INR,outstanding,,2026-08-18T10:00:00+05:30
spl_68c34cb0,exp_7bda23d0,usr_ee5c9717,equal,1,337.73,INR,outstanding,,2026-08-18T10:00:00+05:30
spl_7637a7d7,exp_7bda23d0,usr_57890fbe,equal,1,337.74,INR,outstanding,,2026-08-18T10:00:00+05:30
spl_e43c277c,exp_7bda23d0,usr_7e89b5af,equal,1,337.74,INR,outstanding,,2026-08-18T10:00:00+05:30
spl_14de6da3,exp_da314407,usr_02b3a36d,percentage,1.9904,9.83,AED,outstanding,,2026-08-18T10:00:00+05:30
spl_4d49021c,exp_da314407,usr_14c738e0,percentage,0.9782,4.83,AED,settled,2026-07-14T10:00:00+05:30,2026-08-18T10:00:00+05:30
spl_433a5a17,exp_da314407,usr_ee57ec9a,percentage,1.7899,8.84,AED,outstanding,,2026-08-18T10:00:00+05:30
spl_4a845f20,exp_da314407,usr_49544c26,percentage,2.2015,10.87,AED,outstanding,,2026-08-18T10:00:00+05:30
spl_0a931a2d,exp_0df20e54,usr_b021d103,custom,0.637,3139.25,INR,settled,2026-07-08T10:00:00+05:30,2026-08-18T10:00:00+05:30
spl_032fb954,exp_0df20e54,usr_f94cda41,custom,1.2473,6146.82,INR,settled,2026-07-05T10:00:00+05:30,2026-08-18T10:00:00+05:30
spl_be5d6a00,exp_77bab56e,usr_2109396c,equal,1,1434.63,INR,outstanding,,2026-08-18T10:00:00+05:30
spl_f6bdb155,exp_77bab56e,usr_aef2d4f6,equal,1,1434.63,INR,outstanding,,2026-08-18T10:00:00+05:30
spl_de0248c5,exp_cd9859f2,usr_a25f0129,custom,1.6086,1084.91,MVR,outstanding,,2026-08-18T10:00:00+05:30
spl_3de82a5e,exp_fc087232,usr_60e00854,shares,2.3537,1065.24,NPR,outstanding,,2026-08-18T10:00:00+05:30
spl_f984848a,exp_5c44c05e,usr_41431693,equal,1,60.91,AED,outstanding,,2026-08-18T10:00:00+05:30
spl_10750370,exp_24932142,usr_88af6903,equal,1,679.31,INR,settled,2026-07-16T10:00:00+05:30,2026-08-18T10:00:00+05:30
spl_34c17eb2,exp_84c6e9fc,usr_5b31e64c,percentage,1.9998,1083.95,INR,settled,2026-07-12T10:00:00+05:30,2026-08-18T10:00:00+05:30
spl_3a759a75,exp_cc7b812a,usr_4bf78f59,shares,1.0541,76.16,INR,outstanding,,2026-08-18T10:00:00+05:30
spl_190f2622,exp_cc7b812a,usr_5b790166,shares,1.9216,138.82,INR,settled,2026-08-06T10:00:00+05:30,2026-08-18T10:00:00+05:30
spl_2acba771,exp_cc7b812a,usr_6653b49e,shares,2.0818,150.39,INR,outstanding,,2026-08-18T10:00:00+05:30
spl_56ed04f6,exp_cc7b812a,usr_cb3be250,shares,2.3508,169.83,INR,settled,2026-07-26T10:00:00+05:30,2026-08-18T10:00:00+05:30
spl_99ab36e7,exp_480e2821,usr_ba25cb52,custom,2.3124,1283.63,INR,settled,2026-07-16T10:00:00+05:30,2026-08-18T10:00:00+05:30
spl_99cc31d3,exp_9135e5a3,usr_2da5bb04,percentage,1.796,11841.49,JPY,settled,2026-08-06T10:00:00+05:30,2026-08-18T10:00:00+05:30
spl_cd3569e2,exp_d42a8e3f,usr_9c28ee85,equal,1,1617.42,INR,outstanding,,2026-08-18T10:00:00+05:30
spl_720e2dda,exp_8af870c1,usr_e0853a17,equal,1,3933.47,INR,outstanding,,2026-08-18T10:00:00+05:30
spl_36d95a76,exp_4ffa8faa,usr_ae35e63d,equal,1,1059.11,INR,settled,2026-07-17T10:00:00+05:30,2026-08-18T10:00:00+05:30
spl_5d41f1a8,exp_4ffa8faa,usr_701b0010,equal,1,1059.11,INR,outstanding,,2026-08-18T10:00:00+05:30
spl_65cd199a,exp_3ee1cdc2,usr_5f22c672,equal,1,331.88,INR,settled,2026-08-14T10:00:00+05:30,2026-08-18T10:00:00+05:30
spl_98ce86b2,exp_3ee1cdc2,usr_5d8450f0,equal,1,331.88,INR,outstanding,,2026-08-18T10:00:00+05:30
spl_beb32820,exp_d91da0f1,usr_81005fa8,equal,1,231688.70,IDR,settled,2026-07-06T10:00:00+05:30,2026-08-18T10:00:00+05:30
spl_ac771f3a,exp_36c806a8,usr_efe9a3aa,equal,1,2030.99,INR,outstanding,,2026-08-18T10:00:00+05:30
spl_a100e74b,exp_36c806a8,usr_a7185e16,equal,1,2030.99,INR,outstanding,,2026-08-18T10:00:00+05:30
spl_d3c48ed2,exp_36c806a8,usr_12f95c97,equal,1,2030.99,INR,settled,2026-07-06T10:00:00+05:30,2026-08-18T10:00:00+05:30
spl_e5cdb15e,exp_1cb8ed76,usr_8180c222,equal,1,496.80,NPR,settled,2026-07-23T10:00:00+05:30,2026-08-18T10:00:00+05:30
spl_595f57a9,exp_1cb8ed76,usr_3d1b88d6,equal,1,496.81,NPR,outstanding,,2026-08-18T10:00:00+05:30
spl_31f4241d,exp_1cb8ed76,usr_d8ec0000,equal,1,496.81,NPR,settled,2026-07-19T10:00:00+05:30,2026-08-18T10:00:00+05:30
spl_a423b66f,exp_1cb8ed76,usr_ea479c41,equal,1,496.81,NPR,outstanding,,2026-08-18T10:00:00+05:30
spl_706fd53a,exp_c181520d,usr_a3f4f2d9,equal,1,1779.11,INR,outstanding,,2026-08-18T10:00:00+05:30
spl_ad111746,exp_879c6ee9,usr_8fe264b1,equal,1,628.24,INR,outstanding,,2026-08-18T10:00:00+05:30
spl_f71f2a08,exp_ea19accd,usr_2dfc4f4b,percentage,0.9149,228.45,INR,settled,2026-07-25T10:00:00+05:30,2026-08-18T10:00:00+05:30
spl_fd72d38f,exp_ea19accd,usr_d245dd5d,percentage,0.6057,151.23,INR,outstanding,,2026-08-18T10:00:00+05:30
spl_56ed566e,exp_ea19accd,usr_67ff2106,percentage,1.1602,289.70,INR,settled,2026-07-12T10:00:00+05:30,2026-08-18T10:00:00+05:30
spl_2e24cf6a,exp_ea19accd,usr_7101a5b5,percentage,0.998,249.20,INR,settled,2026-07-30T10:00:00+05:30,2026-08-18T10:00:00+05:30
spl_5a687f33,exp_6cfef00b,usr_13fe39d3,equal,1,2050.06,INR,outstanding,,2026-08-18T10:00:00+05:30
spl_25f363ff,exp_e0db69ac,usr_8f32fd7a,equal,1,17465.23,LKR,settled,2026-08-13T10:00:00+05:30,2026-08-18T10:00:00+05:30
spl_b19e95cb,exp_08f9f19c,usr_e0853a17,equal,1,1721.21,INR,settled,2026-08-14T10:00:00+05:30,2026-08-18T10:00:00+05:30
spl_a256d84e,exp_08f9f19c,usr_428c2df2,equal,1,1721.22,INR,settled,2026-08-06T10:00:00+05:30,2026-08-18T10:00:00+05:30
spl_f7f2d02b,exp_b4c43c14,usr_fedbd227,equal,1,3073.71,INR,outstanding,,2026-08-18T10:00:00+05:30
spl_20699a50,exp_d457ba54,usr_58d2b52f,equal,1,879.79,INR,outstanding,,2026-08-18T10:00:00+05:30
spl_80967288,exp_f6447879,usr_40c95b13,custom,1.5834,3585.85,INR,outstanding,,2026-08-18T10:00:00+05:30
spl_a2aefd10,exp_377f0df1,usr_0b8f3bdc,percentage,1.9687,3267.19,INR,settled,2026-08-11T10:00:00+05:30,2026-08-18T10:00:00+05:30
spl_aa5c54f9,exp_377f0df1,usr_58d2b52f,percentage,2.3673,3928.77,INR,outstanding,,2026-08-18T10:00:00+05:30
spl_1df7b7b3,exp_2492d53d,usr_25c3664e,shares,2.1708,118.45,INR,settled,2026-07-20T10:00:00+05:30,2026-08-18T10:00:00+05:30
spl_fbc030dc,exp_2492d53d,usr_2bd5e70b,shares,1.0267,56.03,INR,outstanding,,2026-08-18T10:00:00+05:30
spl_a6d35e73,exp_2492d53d,usr_268fdb85,shares,2.4309,132.65,INR,settled,2026-07-12T10:00:00+05:30,2026-08-18T10:00:00+05:30
spl_08195476,exp_2492d53d,usr_a8caec17,shares,2.2288,121.62,INR,outstanding,,2026-08-18T10:00:00+05:30
spl_a091af1e,exp_1f9a54ab,usr_1b4fe68e,custom,1.959,1623.35,LKR,outstanding,,2026-08-18T10:00:00+05:30
spl_3333dff9,exp_54b7c6e9,usr_268fdb85,equal,1,214.07,INR,outstanding,,2026-08-18T10:00:00+05:30
spl_c7053475,exp_54b7c6e9,usr_1805266d,equal,1,214.06,INR,outstanding,,2026-08-18T10:00:00+05:30
spl_2d3117b2,exp_54b7c6e9,usr_6479c45c,equal,1,214.06,INR,outstanding,,2026-08-18T10:00:00+05:30
spl_942fcc46,exp_fa8162fe,usr_4d8f3b3a,percentage,1.5383,1305.96,INR,settled,2026-08-10T10:00:00+05:30,2026-08-18T10:00:00+05:30
spl_7ae2592f,exp_3c153220,usr_bc67142c,equal,1,111.56,INR,outstanding,,2026-08-18T10:00:00+05:30
spl_71bda844,exp_3c153220,usr_ca0410cb,equal,1,111.56,INR,settled,2026-07-12T10:00:00+05:30,2026-08-18T10:00:00+05:30
spl_930f7973,exp_3c153220,usr_00591571,equal,1,111.57,INR,settled,2026-07-20T10:00:00+05:30,2026-08-18T10:00:00+05:30
spl_014d4e33,exp_3c153220,usr_356f993d,equal,1,111.57,INR,settled,2026-06-29T10:00:00+05:30,2026-08-18T10:00:00+05:30
spl_9e4be463,exp_c590cc40,usr_58d2b52f,custom,2.3282,420.02,MVR,outstanding,,2026-08-18T10:00:00+05:30
spl_9cc99263,exp_d1ae4bab,usr_36c3dbed,equal,1,2887.19,INR,settled,2026-06-28T10:00:00+05:30,2026-08-18T10:00:00+05:30
spl_98fb7ac5,exp_a0c691cb,usr_240785d4,equal,1,1123.04,INR,outstanding,,2026-08-18T10:00:00+05:30
spl_346f4684,exp_c6b8aa0d,usr_fae4d064,equal,1,57.48,MYR,settled,2026-06-22T10:00:00+05:30,2026-08-18T10:00:00+05:30
spl_1f93b505,exp_f50d2d7b,usr_b86dd891,equal,1,331.07,INR,outstanding,,2026-08-18T10:00:00+05:30
spl_cf50eecd,exp_f50d2d7b,usr_dabbaf95,equal,1,331.06,INR,settled,2026-08-04T10:00:00+05:30,2026-08-18T10:00:00+05:30
spl_bacc0d6f,exp_f50d2d7b,usr_2a348485,equal,1,331.06,INR,settled,2026-08-01T10:00:00+05:30,2026-08-18T10:00:00+05:30
spl_b5a1e6ba,exp_c83c45d7,usr_0389057b,shares,2.3188,237.19,AED,outstanding,,2026-08-18T10:00:00+05:30
spl_5d737c96,exp_68cac692,usr_57995796,equal,1,745.81,INR,outstanding,,2026-08-18T10:00:00+05:30
spl_a098c32c,exp_385b5acb,usr_40edb5af,equal,1,17.69,AED,outstanding,,2026-08-18T10:00:00+05:30
spl_97e62b27,exp_385b5acb,usr_5f22c672,equal,1,17.70,AED,outstanding,,2026-08-18T10:00:00+05:30
spl_8f84e293,exp_007fcb14,usr_b452b228,equal,1,667.08,MVR,outstanding,,2026-08-18T10:00:00+05:30
spl_4010a24b,exp_33df4df3,usr_7101a5b5,equal,1,572.84,INR,settled,2026-06-23T10:00:00+05:30,2026-08-18T10:00:00+05:30
spl_24b9b0a1,exp_33df4df3,usr_4012e3f7,equal,1,572.83,INR,outstanding,,2026-08-18T10:00:00+05:30
spl_8f7245d3,exp_33df4df3,usr_1f2ffeef,equal,1,572.83,INR,outstanding,,2026-08-18T10:00:00+05:30
spl_f6d1987c,exp_33df4df3,usr_ea479c41,equal,1,572.83,INR,outstanding,,2026-08-18T10:00:00+05:30
spl_28b0e4ed,exp_e3e3a426,usr_44ef2e9c,equal,1,1567.38,INR,outstanding,,2026-08-18T10:00:00+05:30
spl_d0be46eb,exp_a68bb491,usr_e27e3b52,percentage,1.6246,8365.66,INR,settled,2026-07-18T10:00:00+05:30,2026-08-18T10:00:00+05:30
spl_9137786f,exp_ff05508d,usr_2e562f89,shares,0.8388,294.59,INR,outstanding,,2026-08-18T10:00:00+05:30
spl_a93f0914,exp_ff05508d,usr_0af476d1,shares,0.7593,266.64,INR,settled,2026-06-21T10:00:00+05:30,2026-08-18T10:00:00+05:30
spl_90a0534b,exp_d2b8dc04,usr_fc544c58,custom,0.7267,421.03,INR,settled,2026-07-13T10:00:00+05:30,2026-08-18T10:00:00+05:30
spl_e8b9cd18,exp_ab36ae27,usr_94e62241,equal,1,5036.89,INR,outstanding,,2026-08-18T10:00:00+05:30
spl_605bebd9,exp_dbccdbd9,usr_67de0711,equal,1,15717.66,NPR,outstanding,,2026-08-18T10:00:00+05:30
spl_e15d251e,exp_2aab153a,usr_ae35e63d,equal,1,2519.51,INR,outstanding,,2026-08-18T10:00:00+05:30
spl_81f2a0ee,exp_2aab153a,usr_895960e2,equal,1,2519.51,INR,settled,2026-07-01T10:00:00+05:30,2026-08-18T10:00:00+05:30
spl_0ae9c449,exp_02c40ea7,usr_25e8a118,shares,0.9174,1895.66,THB,settled,2026-07-13T10:00:00+05:30,2026-08-18T10:00:00+05:30
spl_9a2920e9,exp_e5c68c75,usr_3393c7a2,shares,0.8431,57.25,MVR,settled,2026-08-03T10:00:00+05:30,2026-08-18T10:00:00+05:30
spl_7ceffaad,exp_e5c68c75,usr_268fdb85,shares,1.2327,83.71,MVR,settled,2026-06-20T10:00:00+05:30,2026-08-18T10:00:00+05:30
spl_454af313,exp_e5c68c75,usr_b50df034,shares,1.0526,71.48,MVR,outstanding,,2026-08-18T10:00:00+05:30
spl_20e756d3,exp_e5c68c75,usr_72796feb,shares,1.0132,68.81,MVR,settled,2026-06-28T10:00:00+05:30,2026-08-18T10:00:00+05:30
spl_fd433ac8,exp_f1969bd6,usr_b3f2baa1,equal,1,328.06,MVR,outstanding,,2026-08-18T10:00:00+05:30
spl_7163e151,exp_46fe5025,usr_bff7bdb8,equal,1,688.85,INR,settled,2026-07-22T10:00:00+05:30,2026-08-18T10:00:00+05:30
spl_9ea1baa0,exp_40011499,usr_638c6951,custom,0.5249,45.46,INR,settled,2026-07-01T10:00:00+05:30,2026-08-18T10:00:00+05:30
spl_ac86c1ed,exp_40011499,usr_9c3deed5,custom,0.8545,73.99,INR,settled,2026-08-11T10:00:00+05:30,2026-08-18T10:00:00+05:30
spl_e01c1a79,exp_40011499,usr_88af6903,custom,1.4284,123.70,INR,settled,2026-07-28T10:00:00+05:30,2026-08-18T10:00:00+05:30
spl_7e549390,exp_40011499,usr_a0b28bd2,custom,0.9291,80.45,INR,outstanding,,2026-08-18T10:00:00+05:30
spl_fcd566c5,exp_93f82951,usr_d20b2a69,custom,1.0203,105.88,THB,settled,2026-06-30T10:00:00+05:30,2026-08-18T10:00:00+05:30
spl_68ba1355,exp_93f82951,usr_40edb5af,custom,1.0876,112.86,THB,outstanding,,2026-08-18T10:00:00+05:30
spl_f22492be,exp_93f82951,usr_dace411a,custom,1.2777,132.59,THB,outstanding,,2026-08-18T10:00:00+05:30
spl_4a0505be,exp_93f82951,usr_e459a18c,custom,2.085,216.37,THB,outstanding,,2026-08-18T10:00:00+05:30
spl_a343558d,exp_7a8e9d55,usr_bbd1ced8,custom,1.6348,5.86,CHF,settled,2026-07-19T10:00:00+05:30,2026-08-18T10:00:00+05:30
spl_3f3c56f2,exp_7a8e9d55,usr_9d604e2e,custom,1.4794,5.31,CHF,outstanding,,2026-08-18T10:00:00+05:30
spl_b564be3e,exp_7a8e9d55,usr_23811da7,custom,0.5505,1.97,CHF,settled,2026-07-27T10:00:00+05:30,2026-08-18T10:00:00+05:30
spl_6937ef1f,exp_7a8e9d55,usr_22a9ab26,custom,0.9952,3.57,CHF,outstanding,,2026-08-18T10:00:00+05:30
spl_2f16c7a0,exp_b0bda062,usr_b86dd891,equal,1,1931.85,INR,outstanding,,2026-08-18T10:00:00+05:30
spl_592fe68d,exp_b0bda062,usr_dabbaf95,equal,1,1931.86,INR,settled,2026-07-03T10:00:00+05:30,2026-08-18T10:00:00+05:30
