receipt_id,file_path,merchant_name_truth,total_amount_truth,currency_truth,date_truth,category_truth,line_items_truth,language,image_quality,dataset_split,updated_at
rcp_f53ca003,media/receipts/rcp_f53ca003.jpg,Coastal Ferry Service,3200.00,INR,2026-04-13,food,"[{""label"": ""Tip"", ""amount"": ""801.63""}, {""label"": ""Service"", ""amount"": ""1340.00""}, {""label"": ""Fare"", ""amount"": ""1058.37""}]",en-IN,skewed,train,2026-08-18T10:00:00+05:30
rcp_5335a164,media/receipts/rcp_5335a164.jpg,City Taxi Co-op,950.00,INR,2026-03-18,shopping,"[{""label"": ""Ticket"", ""amount"": ""270.67""}, {""label"": ""Fare"", ""amount"": ""679.33""}]",en-IN,skewed,eval,2026-08-18T10:00:00+05:30
rcp_0d3a7d36,media/receipts/rcp_0d3a7d36.jpg,Anand Bhavan,120.00,INR,2026-02-26,food,"[{""label"": ""Item"", ""amount"": ""68.29""}, {""label"": ""Ticket"", ""amount"": ""51.71""}]",hi,crumpled,train,2026-08-18T10:00:00+05:30
rcp_4a16aa3d,media/receipts/rcp_4a16aa3d.jpg,Metro Auto Stand,1.26,CHF,2026-07-11,food,"[{""label"": ""Service"", ""amount"": ""1.26""}]",en-IN,clean,train,2026-08-18T10:00:00+05:30
rcp_4183c5f3,media/receipts/rcp_4183c5f3.jpg,Airport Duty Free,480.00,INR,2026-01-31,accommodation,"[{""label"": ""Item"", ""amount"": ""239.69""}, {""label"": ""Item"", ""amount"": ""240.31""}]",bn,low_light,train,2026-08-18T10:00:00+05:30
rcp_1f343bc5,media/receipts/rcp_1f343bc5.jpg,Metro Auto Stand,3200.00,INR,2026-07-23,misc,"[{""label"": ""Tax"", ""amount"": ""1139.97""}, {""label"": ""Ticket"", ""amount"": ""591.99""}, {""label"": ""Item"", ""amount"": ""573.12""}, {""label"": ""Item"", ""amount"": ""894.92""}]",ta,clean,eval,2026-08-18T10:00:00+05:30
rcp_b9c4ef5f,media/receipts/rcp_b9c4ef5f.jpg,Airport Duty Free,1750.00,INR,2026-04-12,activities,"[{""label"": ""Service"", ""amount"": ""1750.00""}]",en-IN,clean,train,2026-08-18T10:00:00+05:30
rcp_71faa65d,media/receipts/rcp_71faa65d.jpg,Green Leaf Restaurant,480.00,INR,2026-08-16,transport,"[{""label"": ""Tip"", ""amount"": ""167.33""}, {""label"": ""Fare"", ""amount"": ""120.55""}, {""label"": ""Service"", ""amount"": ""61.03""}, {""label"": ""Service"", ""amount"": ""131.09""}]",bn,low_light,train,2026-08-18T10:00:00+05:30
rcp_54ff6c5c,media/receipts/rcp_54ff6c5c.jpg,Hotel Kanchan,1750.00,INR,2026-05-11,misc,"[{""label"": ""Item"", ""amount"": ""661.19""}, {""label"": ""Service"", ""amount"": ""498.92""}, {""label"": ""Fare"", ""amount"": ""589.89""}]",ta,clean,train,2026-08-18T10:00:00+05:30
rcp_dec39d0d,media/receipts/rcp_dec39d0d.jpg,Heritage Museum Tickets,6400.00,INR,2026-04-26,transport,"[{""label"": ""Fare"", ""amount"": ""2522.79""}, {""label"": ""Service"", ""amount"": ""1459.58""}, {""label"": ""Ticket"", ""amount"": ""2417.63""}]",ta,low_light,eval,2026-08-18T10:00:00+05:30
rcp_8d57ff2f,media/receipts/rcp_8d57ff2f.jpg,Spice Bazaar Stall 14,11360.00,LKR,2026-04-02,transport,"[{""label"": ""Fare"", ""amount"": ""2209.71""}, {""label"": ""Service"", ""amount"": ""4759.78""}, {""label"": ""Tax"", ""amount"": ""1638.78""}, {""label"": ""Fare"", ""amount"": ""2751.73""}]",ta,low_light,train,2026-08-18T10:00:00+05:30
rcp_5d1176d4,media/receipts/rcp_5d1176d4.jpg,Green Leaf Restaurant,6400.00,INR,2026-08-05,accommodation,"[{""label"": ""Fare"", ""amount"": ""6400.00""}]",hi,clean,train,2026-08-18T10:00:00+05:30
rcp_795e111f,media/receipts/rcp_795e111f.jpg,Coastal Ferry Service,41.52,QAR,2026-04-20,food,"[{""label"": ""Fare"", ""amount"": ""19.15""}, {""label"": ""Service"", ""amount"": ""22.37""}]",ta,skewed,train,2026-08-18T10:00:00+05:30
rcp_63193877,media/receipts/rcp_63193877.jpg,Blue Pottery Studio,260.00,INR,2026-07-04,accommodation,"[{""label"": ""Item"", ""amount"": ""50.00""}, {""label"": ""Service"", ""amount"": ""52.75""}, {""label"": ""Fare"", ""amount"": ""77.74""}, {""label"": ""Fare"", ""amount"": ""79.51""}]",en-IN,clean,eval,2026-08-18T10:00:00+05:30
rcp_fdc56f50,media/receipts/rcp_fdc56f50.jpg,Coastal Ferry Service,950.00,INR,2026-04-05,transport,"[{""label"": ""Service"", ""amount"": ""428.52""}, {""label"": ""Tip"", ""amount"": ""521.48""}]",ta,low_light,train,2026-08-18T10:00:00+05:30
rcp_f34309d1,media/receipts/rcp_f34309d1.jpg,City Taxi Co-op,1750.00,INR,2026-05-12,shopping,"[{""label"": ""Ticket"", ""amount"": ""565.70""}, {""label"": ""Ticket"", ""amount"": ""653.66""}, {""label"": ""Ticket"", ""amount"": ""530.64""}]",ml,clean,train,2026-08-18T10:00:00+05:30
rcp_7e2eb9d3,media/receipts/rcp_7e2eb9d3.jpg,Spice Bazaar Stall 14,5.24,QAR,2026-06-22,shopping,"[{""label"": ""Fare"", ""amount"": ""1.33""}, {""label"": ""Service"", ""amount"": ""1.55""}, {""label"": ""Item"", ""amount"": ""0.90""}, {""label"": ""Service"", ""amount"": ""1.46""}]",ta,clean,train,2026-08-18T10:00:00+05:30
rcp_484de7bf,media/receipts/rcp_484de7bf.jpg,Sea Breeze Cafe,4.19,SGD,2026-08-10,accommodation,"[{""label"": ""Ticket"", ""amount"": ""4.19""}]",ta,clean,eval,2026-08-18T10:00:00+05:30
rcp_9d7cd86a,media/receipts/rcp_9d7cd86a.jpg,Heritage Museum Tickets,3200.00,INR,2026-07-15,fees,"[{""label"": ""Service"", ""amount"": ""1712.32""}, {""label"": ""Service"", ""amount"": ""1487.68""}]",bn,low_light,train,2026-08-18T10:00:00+05:30
rcp_93575557,media/receipts/rcp_93575557.jpg,Coastal Ferry Service,341250.00,IDR,2026-06-18,accommodation,"[{""label"": ""Ticket"", ""amount"": ""85762.76""}, {""label"": ""Item"", ""amount"": ""179118.90""}, {""label"": ""Tax"", ""amount"": ""76368.34""}]",en-IN,clean,train,2026-08-18T10:00:00+05:30
rcp_7ad44f4f,media/receipts/rcp_7ad44f4f.jpg,Coastal Ferry Service,480.00,INR,2026-02-20,transport,"[{""label"": ""Tip"", ""amount"": ""162.06""}, {""label"": ""Tip"", ""amount"": ""152.22""}, {""label"": ""Tip"", ""amount"": ""165.72""}]",ml,low_light,train,2026-08-18T10:00:00+05:30
rcp_31d25b74,media/receipts/rcp_31d25b74.jpg,Airport Duty Free,41.52,QAR,2026-05-25,activities,"[{""label"": ""Fare"", ""amount"": ""20.46""}, {""label"": ""Service"", ""amount"": ""21.06""}]",bn,crumpled,eval,2026-08-18T10:00:00+05:30
rcp_d2a7a399,media/receipts/rcp_d2a7a399.jpg,Chai Point,6400.00,INR,2026-05-15,misc,"[{""label"": ""Service"", ""amount"": ""3785.58""}, {""label"": ""Ticket"", ""amount"": ""2614.42""}]",ta,crumpled,train,2026-08-18T10:00:00+05:30
rcp_123ca995,media/receipts/rcp_123ca995.jpg,Chai Point,3200.00,INR,2026-04-05,shopping,"[{""label"": ""Fare"", ""amount"": ""779.70""}, {""label"": ""Tip"", ""amount"": ""759.36""}, {""label"": ""Service"", ""amount"": ""1660.94""}]",ml,crumpled,train,2026-08-18T10:00:00+05:30
rcp_75917fcb,media/receipts/rcp_75917fcb.jpg,Anand Bhavan,6400.00,INR,2026-08-15,shopping,"[{""label"": ""Tip"", ""amount"": ""2002.98""}, {""label"": ""Tax"", ""amount"": ""3063.27""}, {""label"": ""Tip"", ""amount"": ""1333.75""}]",bn,clean,train,2026-08-18T10:00:00+05:30
rcp_c60917d2,media/receipts/rcp_c60917d2.jpg,City Taxi Co-op,480.00,INR,2026-04-09,accommodation,"[{""label"": ""Tip"", ""amount"": ""75.63""}, {""label"": ""Item"", ""amount"": ""83.46""}, {""label"": ""Tax"", ""amount"": ""162.11""}, {""label"": ""Item"", ""amount"": ""158.80""}]",en-IN,skewed,eval,2026-08-18T10:00:00+05:30
rcp_7e315437,media/receipts/rcp_7e315437.jpg,Spice Bazaar Stall 14,120.00,INR,2026-05-14,accommodation,"[{""label"": ""Item"", ""amount"": ""42.53""}, {""label"": ""Tip"", ""amount"": ""42.04""}, {""label"": ""Ticket"", ""amount"": ""35.43""}]",en-IN,clean,train,2026-08-18T10:00:00+05:30
rcp_08c8786d,media/receipts/rcp_08c8786d.jpg,Heritage Museum Tickets,950.00,BTN,2026-05-04,fees,"[{""label"": ""Service"", ""amount"": ""152.40""}, {""label"": ""Tip"", ""amount"": ""204.40""}, {""label"": ""Item"", ""amount"": ""282.25""}, {""label"": ""Fare"", ""amount"": ""310.95""}]",bn,clean,train,2026-08-18T10:00:00+05:30
rcp_be4e61b0,media/receipts/rcp_be4e61b0.jpg,Sea Breeze Cafe,1750.00,INR,2026-06-13,accommodation,"[{""label"": ""Tip"", ""amount"": ""1240.87""}, {""label"": ""Tax"", ""amount"": ""509.13""}]",bn,clean,train,2026-08-18T10:00:00+05:30
rcp_b831b956,media/receipts/rcp_b831b956.jpg,Blue Pottery Studio,6400.00,INR,2026-04-07,misc,"[{""label"": ""Tax"", ""amount"": ""1711.57""}, {""label"": ""Item"", ""amount"": ""678.06""}, {""label"": ""Tip"", ""amount"": ""1635.89""}, {""label"": ""Service"", ""amount"": ""2374.48""}]",ta,skewed,eval,2026-08-18T10:00:00+05:30
rcp_10342383,media/receipts/rcp_10342383.jpg,Green Leaf Restaurant,950.00,INR,2026-07-20,food,"[{""label"": ""Fare"", ""amount"": ""426.56""}, {""label"": ""Tax"", ""amount"": ""523.44""}]",ml,clean,train,2026-08-18T10:00:00+05:30
rcp_dd97a63d,media/receipts/rcp_dd97a63d.jpg,Metro Auto Stand,141.12,AED,2026-06-05,accommodation,"[{""label"": ""Service"", ""amount"": ""30.67""}, {""label"": ""Service"", ""amount"": ""58.64""}, {""label"": ""Tip"", ""amount"": ""51.81""}]",en-IN,skewed,train,2026-08-18T10:00:00+05:30
rcp_da8fd6bb,media/receipts/rcp_da8fd6bb.jpg,Spice Bazaar Stall 14,1750.00,INR,2026-06-21,misc,"[{""label"": ""Service"", ""amount"": ""500.89""}, {""label"": ""Ticket"", ""amount"": ""650.39""}, {""label"": ""Ticket"", ""amount"": ""598.72""}]",ml,clean,train,2026-08-18T10:00:00+05:30
rcp_31285419,media/receipts/rcp_31285419.jpg,Heritage Museum Tickets,260.00,INR,2026-02-25,shopping,"[{""label"": ""Item"", ""amount"": ""72.91""}, {""label"": ""Tip"", ""amount"": ""79.58""}, {""label"": ""Item"", ""amount"": ""107.51""}]",ml,crumpled,eval,2026-08-18T10:00:00+05:30
rcp_a8adbfae,media/receipts/rcp_a8adbfae.jpg,Blue Pottery Studio,3200.00,INR,2026-02-08,activities,"[{""label"": ""Tip"", ""amount"": ""621.56""}, {""label"": ""Ticket"", ""amount"": ""434.04""}, {""label"": ""Service"", ""amount"": ""668.47""}, {""label"": ""Fare"", ""amount"": ""1475.93""}]",en-IN,low_light,train,2026-08-18T10:00:00+05:30
rcp_14fc068f,media/receipts/rcp_14fc068f.jpg,Green Leaf Restaurant,3200.00,INR,2026-02-22,transport,"[{""label"": ""Tip"", ""amount"": ""3200.00""}]",ta,clean,train,2026-08-18T10:00:00+05:30
rcp_3ebcab4c,media/receipts/rcp_3ebcab4c.jpg,Anand Bhavan,950.00,INR,2026-05-25,shopping,"[{""label"": ""Tip"", ""amount"": ""950.00""}]",ta,skewed,train,2026-08-18T10:00:00+05:30
rcp_fd2722eb,media/receipts/rcp_fd2722eb.jpg,Coastal Ferry Service,77.18,AED,2026-06-09,activities,"[{""label"": ""Fare"", ""amount"": ""77.18""}]",hi,crumpled,eval,2026-08-18T10:00:00+05:30
rcp_b556d11e,media/receipts/rcp_b556d11e.jpg,Chai Point,120.00,INR,2026-02-15,misc,"[{""label"": ""Service"", ""amount"": ""55.22""}, {""label"": ""Tip"", ""amount"": ""64.78""}]",hi,crumpled,train,2026-08-18T10:00:00+05:30
rcp_e63eeeeb,media/receipts/rcp_e63eeeeb.jpg,Coastal Ferry Service,6400.00,INR,2026-02-01,transport,"[{""label"": ""Tip"", ""amount"": ""3291.87""}, {""label"": ""Ticket"", ""amount"": ""3108.13""}]",en-IN,clean,train,2026-08-18T10:00:00+05:30
rcp_41201309,media/receipts/rcp_41201309.jpg,City Taxi Co-op,260.00,INR,2026-04-01,fees,"[{""label"": ""Ticket"", ""amount"": ""260.00""}]",en-IN,skewed,train,2026-08-18T10:00:00+05:30
rcp_86e21a9c,media/receipts/rcp_86e21a9c.jpg,Hotel Kanchan,6400.00,INR,2026-05-31,fees,"[{""label"": ""Tax"", ""amount"": ""1384.63""}, {""label"": ""Service"", ""amount"": ""2278.45""}, {""label"": ""Fare"", ""amount"": ""1829.82""}, {""label"": ""Fare"", ""amount"": ""907.10""}]",hi,low_light,eval,2026-08-18T10:00:00+05:30
rcp_ba9e5177,media/receipts/rcp_ba9e5177.jpg,Green Leaf Restaurant,260.00,INR,2026-02-22,transport,"[{""label"": ""Tip"", ""amount"": ""260.00""}]",en-IN,clean,train,2026-08-18T10:00:00+05:30
rcp_e3ef8c8f,media/receipts/rcp_e3ef8c8f.jpg,Chai Point,1184.00,MVR,2026-06-24,transport,"[{""label"": ""Item"", ""amount"": ""429.08""}, {""label"": ""Service"", ""amount"": ""290.40""}, {""label"": ""Service"", ""amount"": ""158.71""}, {""label"": ""Tax"", ""amount"": ""305.81""}]",bn,crumpled,train,2026-08-18T10:00:00+05:30
rcp_d239ad83,media/receipts/rcp_d239ad83.jpg,Heritage Museum Tickets,1750.00,INR,2026-04-22,fees,"[{""label"": ""Ticket"", ""amount"": ""1750.00""}]",ta,crumpled,train,2026-08-18T10:00:00+05:30
rcp_6ff3ad85,media/receipts/rcp_6ff3ad85.jpg,Hotel Kanchan,120.00,INR,2026-03-05,shopping,"[{""label"": ""Ticket"", ""amount"": ""51.39""}, {""label"": ""Tax"", ""amount"": ""39.15""}, {""label"": ""Fare"", ""amount"": ""29.46""}]",hi,clean,eval,2026-08-18T10:00:00+05:30
rcp_10950b4c,media/receipts/rcp_10950b4c.jpg,Coastal Ferry Service,1750.00,INR,2026-08-08,fees,"[{""label"": ""Ticket"", ""amount"": ""414.36""}, {""label"": ""Tax"", ""amount"": ""540.80""}, {""label"": ""Ticket"", ""amount"": ""346.95""}, {""label"": ""Item"", ""amount"": ""447.89""}]",ml,clean,train,2026-08-18T10:00:00+05:30
rcp_dd71a54b,media/receipts/rcp_dd71a54b.jpg,Anand Bhavan,950.00,INR,2026-07-14,activities,"[{""label"": ""Item"", ""amount"": ""187.66""}, {""label"": ""Service"", ""amount"": ""537.31""}, {""label"": ""Service"", ""amount"": ""225.03""}]",ml,skewed,train,2026-08-18T10:00:00+05:30
rcp_9e81d979,media/receipts/rcp_9e81d979.jpg,Green Leaf Restaurant,120.00,INR,2026-07-24,transport,"[{""label"": ""Ticket"", ""amount"": ""33.18""}, {""label"": ""Service"", ""amount"": ""30.20""}, {""label"": ""Ticket"", ""amount"": ""22.82""}, {""label"": ""Service"", ""amount"": ""33.80""}]",hi,clean,train,2026-08-18T10:00:00+05:30
rcp_2a927510,media/receipts/rcp_2a927510.jpg,City Taxi Co-op,6400.00,INR,2026-06-28,food,"[{""label"": ""Service"", ""amount"": ""6400.00""}]",bn,low_light,eval,2026-08-18T10:00:00+05:30
rcp_494e8e42,media/receipts/rcp_494e8e42.jpg,Metro Auto Stand,3200.00,INR,2026-05-27,shopping,"[{""label"": ""Fare"", ""amount"": ""1365.45""}, {""label"": ""Tip"", ""amount"": ""1834.55""}]",hi,skewed,train,2026-08-18T10:00:00+05:30
rcp_5365c00f,media/receipts/rcp_5365c00f.jpg,Heritage Museum Tickets,260.00,INR,2026-05-15,misc,"[{""label"": ""Service"", ""amount"": ""59.85""}, {""label"": ""Item"", ""amount"": ""88.62""}, {""label"": ""Ticket"", ""amount"": ""111.53""}]",ml,low_light,train,2026-08-18T10:00:00+05:30
rcp_894eb8c5,media/receipts/rcp_894eb8c5.jpg,City Taxi Co-op,260.00,INR,2026-05-04,accommodation,"[{""label"": ""Service"", ""amount"": ""66.50""}, {""label"": ""Tip"", ""amount"": ""114.09""}, {""label"": ""Ticket"", ""amount"": ""79.41""}]",bn,skewed,train,2026-08-18T10:00:00+05:30
rcp_c976e029,media/receipts/rcp_c976e029.jpg,Metro Auto Stand,3200.00,INR,2026-04-26,transport,"[{""label"": ""Service"", ""amount"": ""3200.00""}]",en-IN,low_light,eval,2026-08-18T10:00:00+05:30
rcp_71bc6c48,media/receipts/rcp_71bc6c48.jpg,City Taxi Co-op,260.00,INR,2026-04-24,fees,"[{""label"": ""Fare"", ""amount"": ""135.70""}, {""label"": ""Item"", ""amount"": ""124.30""}]",hi,crumpled,train,2026-08-18T10:00:00+05:30
rcp_3a43789a,media/receipts/rcp_3a43789a.jpg,Blue Pottery Studio,120.00,INR,2026-03-12,accommodation,"[{""label"": ""Service"", ""amount"": ""25.62""}, {""label"": ""Tax"", ""amount"": ""57.01""}, {""label"": ""Tip"", ""amount"": ""37.37""}]",ml,clean,train,2026-08-18T10:00:00+05:30
rcp_7170e966,media/receipts/rcp_7170e966.jpg,Chai Point,103.04,SGD,2026-06-02,activities,"[{""label"": ""Tax"", ""amount"": ""31.12""}, {""label"": ""Item"", ""amount"": ""12.70""}, {""label"": ""Fare"", ""amount"": ""34.67""}, {""label"": ""Tax"", ""amount"": ""24.55""}]",en-IN,skewed,train,2026-08-18T10:00:00+05:30
rcp_93e59428,media/receipts/rcp_93e59428.jpg,City Taxi Co-op,260.00,INR,2026-07-29,fees,"[{""label"": ""Fare"", ""amount"": ""95.11""}, {""label"": ""Item"", ""amount"": ""68.45""}, {""label"": ""Service"", ""amount"": ""96.44""}]",ta,clean,eval,2026-08-18T10:00:00+05:30
rcp_9c2578b6,media/receipts/rcp_9c2578b6.jpg,Spice Bazaar Stall 14,260.00,INR,2026-08-02,misc,"[{""label"": ""Fare"", ""amount"": ""60.58""}, {""label"": ""Tax"", ""amount"": ""82.90""}, {""label"": ""Tip"", ""amount"": ""116.52""}]",ta,clean,train,2026-08-18T10:00:00+05:30
rcp_add94b2f,media/receipts/rcp_add94b2f.jpg,Chai Point,480.00,INR,2026-04-16,accommodation,"[{""label"": ""Fare"", ""amount"": ""248.09""}, {""label"": ""Tax"", ""amount"": ""142.90""}, {""label"": ""Service"", ""amount"": ""89.01""}]",ta,clean,train,2026-08-18T10:00:00+05:30
rcp_1d81fcd5,media/receipts/rcp_1d81fcd5.jpg,Metro Auto Stand,5120.00,NPR,2026-03-01,food,"[{""label"": ""Tax"", ""amount"": ""2104.74""}, {""label"": ""Item"", ""amount"": ""1090.29""}, {""label"": ""Fare"", ""amount"": ""1924.97""}]",hi,clean,train,2026-08-18T10:00:00+05:30
rcp_6b60b58c,media/receipts/rcp_6b60b58c.jpg,Spice Bazaar Stall 14,480.00,INR,2026-02-02,shopping,"[{""label"": ""Ticket"", ""amount"": ""207.70""}, {""label"": ""Tax"", ""amount"": ""272.30""}]",ta,skewed,eval,2026-08-18T10:00:00+05:30
rcp_4f7f7fee,media/receipts/rcp_4f7f7fee.jpg,Coastal Ferry Service,6400.00,INR,2026-05-24,food,"[{""label"": ""Tax"", ""amount"": ""2190.59""}, {""label"": ""Tip"", ""amount"": ""4209.41""}]",ml,clean,train,2026-08-18T10:00:00+05:30
rcp_b97e67e3,media/receipts/rcp_b97e67e3.jpg,Heritage Museum Tickets,950.00,INR,2026-04-28,shopping,"[{""label"": ""Fare"", ""amount"": ""234.08""}, {""label"": ""Item"", ""amount"": ""243.35""}, {""label"": ""Ticket"", ""amount"": ""207.02""}, {""label"": ""Item"", ""amount"": ""265.55""}]",ta,clean,train,2026-08-18T10:00:00+05:30
rcp_e4175c10,media/receipts/rcp_e4175c10.jpg,Coastal Ferry Service,1750.00,INR,2026-02-05,accommodation,"[{""label"": ""Ticket"", ""amount"": ""788.76""}, {""label"": ""Tip"", ""amount"": ""961.24""}]",bn,skewed,train,2026-08-18T10:00:00+05:30
rcp_a6446eed,media/receipts/rcp_a6446eed.jpg,Airport Duty Free,3200.00,INR,2026-05-26,food,"[{""label"": ""Ticket"", ""amount"": ""1060.46""}, {""label"": ""Ticket"", ""amount"": ""431.92""}, {""label"": ""Tip"", ""amount"": ""1261.30""}, {""label"": ""Item"", ""amount"": ""446.32""}]",hi,low_light,eval,2026-08-18T10:00:00+05:30
rcp_cc7c95ea,media/receipts/rcp_cc7c95ea.jpg,Chai Point,1750.00,INR,2026-03-19,food,"[{""label"": ""Tax"", ""amount"": ""718.90""}, {""label"": ""Tax"", ""amount"": ""1031.10""}]",bn,clean,train,2026-08-18T10:00:00+05:30
rcp_ccc4b59c,media/receipts/rcp_ccc4b59c.jpg,Green Leaf Restaurant,1750.00,INR,2026-03-08,misc,"[{""label"": ""Ticket"", ""amount"": ""1044.48""}, {""label"": ""Fare"", ""amount"": ""705.52""}]",bn,clean,train,2026-08-18T10:00:00+05:30
rcp_68cdf508,media/receipts/rcp_68cdf508.jpg,Metro Auto Stand,6400.00,INR,2026-04-18,fees,"[{""label"": ""Ticket"", ""amount"": ""1600.14""}, {""label"": ""Fare"", ""amount"": ""1101.43""}, {""label"": ""Tip"", ""amount"": ""1367.23""}, {""label"": ""Fare"", ""amount"": ""2331.20""}]",ta,clean,train,2026-08-18T10:00:00+05:30
rcp_da7ee87f,media/receipts/rcp_da7ee87f.jpg,Metro Auto Stand,6400.00,INR,2026-05-15,activities,"[{""label"": ""Service"", ""amount"": ""3273.62""}, {""label"": ""Fare"", ""amount"": ""3126.38""}]",en-IN,low_light,eval,2026-08-18T10:00:00+05:30
